0,TRUE,FALSE
79,TRUE,TRUE
3,TRUE,FALSE
76,TRUE,TRUE
83,TRUE,TRUE
50,TRUE,TRUE
73,TRUE,TRUE
37,TRUE,TRUE
82,TRUE,TRUE
41,TRUE,TRUE
14,TRUE,TRUE
68,TRUE,TRUE
15,TRUE,TRUE
75,TRUE,TRUE
9,TRUE,FALSE
51,TRUE,TRUE
62,TRUE,TRUE
12,TRUE,TRUE
10,TRUE,TRUE
31,TRUE,TRUE
54,TRUE,TRUE
72,TRUE,TRUE
71,TRUE,TRUE
36,TRUE,TRUE
26,TRUE,TRUE
40,TRUE,TRUE
5,TRUE,FALSE
29,TRUE,TRUE
69,TRUE,TRUE
33,TRUE,TRUE
44,TRUE,TRUE
13,TRUE,TRUE
53,TRUE,TRUE
27,TRUE,TRUE
56,TRUE,TRUE
65,TRUE,TRUE
67,TRUE,TRUE
8,TRUE,FALSE
24,TRUE,TRUE
1,TRUE,FALSE
77,TRUE,TRUE
85,TRUE,TRUE
2,TRUE,FALSE
21,TRUE,TRUE
87,TRUE,TRUE
30,TRUE,TRUE
4,TRUE,FALSE
28,TRUE,TRUE
61,TRUE,TRUE
88,TRUE,TRUE
16,TRUE,TRUE
78,TRUE,TRUE
81,TRUE,TRUE
32,TRUE,TRUE
23,TRUE,TRUE
84,TRUE,TRUE
66,TRUE,TRUE
42,TRUE,TRUE
20,TRUE,TRUE
64,TRUE,TRUE
89,TRUE,TRUE
34,TRUE,TRUE
70,TRUE,TRUE
11,TRUE,TRUE
18,TRUE,TRUE
55,TRUE,TRUE
43,TRUE,TRUE
47,TRUE,TRUE
74,TRUE,TRUE
57,TRUE,TRUE
59,TRUE,TRUE
35,TRUE,TRUE
49,TRUE,TRUE
46,TRUE,TRUE
17,TRUE,TRUE
6,TRUE,FALSE
63,TRUE,TRUE
38,TRUE,TRUE
48,TRUE,TRUE
80,TRUE,TRUE
39,TRUE,TRUE
86,TRUE,TRUE
7,TRUE,FALSE
60,TRUE,TRUE
45,TRUE,TRUE
58,TRUE,TRUE
22,TRUE,TRUE
25,TRUE,TRUE
52,TRUE,TRUE
19,TRUE,TRUE
